AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,660643,NHMSYS0000524017,38
ANGLIAN - CENTRAL,660643,NBNSYS0100053515,8
ANGLIAN - CENTRAL,670826,NBNSYS0100041514,1
ANGLIAN - CENTRAL,670826,NBNSYS0100041529,4
ANGLIAN - CENTRAL,670826,NBNSYS0100041609,18
ANGLIAN - CENTRAL,670826,NBNSYS0100041921,1
ANGLIAN - CENTRAL,670826,NBNSYS0100041923,1
ANGLIAN - CENTRAL,670826,NBNSYS0100041935,186
ANGLIAN - CENTRAL,670826,NBNSYS0100041946,1
ANGLIAN - CENTRAL,670826,NBNSYS0100043872,4
ANGLIAN - CENTRAL,670826,NBNSYS0100043875,1
ANGLIAN - CENTRAL,670826,NBNSYS0100043878,4
ANGLIAN - CENTRAL,670826,NBNSYS0100045199,1
ANGLIAN - CENTRAL,670826,NBNSYS0100046453,1
ANGLIAN - CENTRAL,670826,NBNSYS0100048363,1
ANGLIAN - CENTRAL,670826,NBNSYS0100049354,6
ANGLIAN - CENTRAL,670826,NBNSYS0100049459,1
ANGLIAN - CENTRAL,670826,NBNSYS0100049481,2
ANGLIAN - CENTRAL,670826,NBNSYS0100049777,18
ANGLIAN - CENTRAL,670826,NBNSYS0100051130,13
ANGLIAN - CENTRAL,670826,NBNSYS0100051134,2
ANGLIAN - CENTRAL,670826,NHMSYS0000524017,22
ANGLIAN - CENTRAL,670826,NBNSYS0100051971,3
ANGLIAN - CENTRAL,670826,NHMSYS0001388927,1
ANGLIAN - CENTRAL,670826,NBNSYS0100052065,16
ANGLIAN - CENTRAL,670826,NBNSYS0100052556,7
ANGLIAN - CENTRAL,682455,NBNSYS0100041609,7
ANGLIAN - CENTRAL,682455,NBNSYS0100041935,9
ANGLIAN - CENTRAL,682455,NBNSYS0100043875,3
ANGLIAN - CENTRAL,682455,NBNSYS0100046325,2
ANGLIAN - CENTRAL,682455,NBNSYS0100046917,3
ANGLIAN - CENTRAL,682455,NBNSYS0100046920,1
ANGLIAN - CENTRAL,682455,NBNSYS0100048616,5
ANGLIAN - CENTRAL,682455,NBNSYS0100048637,1
ANGLIAN - CENTRAL,682455,NBNSYS0100049186,1
ANGLIAN - CENTRAL,682455,NBNSYS0100049239,2
ANGLIAN - CENTRAL,682455,NBNSYS0100049293,89
ANGLIAN - CENTRAL,682455,NBNSYS0100049330,3
ANGLIAN - CENTRAL,682455,NBNSYS0100049331,95
ANGLIAN - CENTRAL,682455,NBNSYS0100049354,3
ANGLIAN - CENTRAL,682455,NBNSYS0100049481,9
